task,CreationTimestamp,ProcessID,ParentPID,CommandLine,Image,ProcessType,Registry,Files,Modules,DroppedFiles,DebugStrings,EventsCounters_Network,Scores_Network,Autostart,LowAccess,FileType,Priority,unknown_ip,Suspicious_ip,Malicious_ip,whitelist_ip,unsafe_ip,unknown_domain,Suspicious_domain,Malicious_domain,whitelist_domain,unsafe_domain,unknown_http_request,Suspicious_http_request,Malicious_http_request,whitelist_http_request,unsafe_http_request,HKEY_LOCAL_MACHINE,HKEY_CLASSES_ROOT,HKEY_USERS,HKEY_CURRENT_CONFIG,HKEY_CURRENT_USER,startup_registry_keys,active_setup_registry_keys,services_registry_keys,dll_injection_registry_keys,shell_spawning_registry_keys,internet_settings_registry_keys,bho_registry_keys,label
088b8a82-4712-48d8-9edc-bb185fd2bb06,1611365228579,2444,372,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\f188eec1268fd49bdc7375fc5b77ded657c150875fede1a4d797f818d2514e88.doc""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,1883,4310,220,21,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,59,0,0,0,0,0,1,0,1
0bee650a-03dc-4253-a8c4-1021485e0444,1611305833159,2660,612,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\BTID-315.doc""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,1704,3784,140,36,0,8,True,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,65,0,0,0,0,0,1,0,1
0d2d1ded-eaa1-4c67-8762-e5d9edc5dbeb,1611329826556,3972,1292,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\Google.docx""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,3199,4075,104,5,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,66,0,0,0,0,0,1,0,1
0ead1f45-5a06-47ea-bf91-8e64e7bdb75e,1611295176915,2312,292,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\udaythombre_resume.doc""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,1734,6273,180,6,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,54,0,0,0,0,0,1,0,1
0ec297e2-4664-4179-b3fe-dcc9a7452bbd,1611261321265,2188,372,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,87,618,83,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,1
0f059277-2a1b-4e8d-9b10-081c1e89d56c,1611256707925,3984,292,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\dbec98a5126ee947f748d2225989f70aaaebd9fba29728879541ab9c1b843db4.docx""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,1414,9881,123,11,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,63,0,0,0,0,0,1,0,1
1161858c-34ad-4845-b9c3-dae2be141feb,1611388436018,2212,376,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\ThePinkPantherShow.png.docx""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,1971,5206,106,5,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,62,0,0,0,0,0,1,0,1
11dba8fa-752d-4262-aa5e-62ba51c00ef3,1611153829293,3920,292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,520,1279,107,5,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,48,0,0,0,0,0,1,0,1
12a51285-f6d5-498b-b43e-92c3c3d556b4,1611261201662,3928,292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,87,618,83,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,1
141d3348-2351-4a20-858b-f35d2880b68d,1611356795952,2792,356,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\rechnung.docx""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,1895,5208,104,3,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,66,0,0,0,0,0,1,0,1
142358be-5600-40a7-b63d-76fe64af6c07,1611253980283,496,1292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,1466,1049,90,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,49,0,0,0,0,0,1,0,1
14af92cd-07cb-487d-8700-141e54125797,1611140519480,2288,612,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\New Microsoft Word Document.docx""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,1905,5230,112,4,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,66,0,0,0,0,0,1,0,1
152f0269-c39a-46bf-8096-06f0d391d84f,1611150142316,3840,292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,584,1178,188,9,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,57,0,0,0,0,0,1,0,1
152f0269-c39a-46bf-8096-06f0d391d84f,1611150167647,3736,292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Probably manual launch or APC inject,472,882,95,9,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,52,0,0,0,0,0,1,0,1
16c89a39-03e8-427b-bf6c-5d28394486e7,1611140381506,3364,464,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,590,1050,88,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,46,0,0,0,0,0,1,0,1
16eaf14f-0b87-44d2-b3a0-b10edff44a8f,1611255829165,2692,356,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\阿狗护照.doc.docx""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,2015,6145,160,30,0,12,True,False,False,OFS,3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,65,0,0,0,0,0,1,0,1
18e72dc5-9887-4e0d-a395-4bdcc71a6a63,1611315683219,2700,612,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,594,1158,103,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,47,0,0,0,0,0,1,0,1
195a296a-8321-4b95-b249-422d6b52467c,1611336002488,2544,356,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,553,1871,117,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,45,0,0,0,0,0,1,0,1
1d9a1ea3-4cf8-4024-b5a1-5281b31ccff3,1611341452725,2700,612,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,723,1363,130,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,45,0,0,0,0,0,1,0,1
1f2f0188-43bc-40bc-bd82-ad809d6e8c6d,1611306533026,2568,376,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\BTID-317.doc""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,1690,3780,138,35,0,7,True,False,False,OFS,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,5,0,0,0,65,0,0,0,0,0,1,0,1
21a0527e-4127-4996-8c8f-acb964638b42,1611139793620,3332,464,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,596,1043,88,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,45,0,0,0,0,0,1,0,1
24f6720d-2b5e-4758-b70d-86aa82db904b,1611273168202,2592,292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,16489,2401,318,14,0,15,True,False,False,OFS,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,1,23,0,0,0,47,0,0,0,0,0,1,0,1
24f6720d-2b5e-4758-b70d-86aa82db904b,1611273222561,536,292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Probably manual launch or APC inject,15774,1893,151,9,0,13,True,False,False,OFS,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,49,0,0,0,0,0,1,0,1
26a4cac1-82d1-4cee-8a5e-c89ace2b1fc2,1611348623764,3964,292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,555,940,85,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,45,0,0,0,0,0,1,0,1
274b59bd-3795-4afe-abdf-3d59ef0b1765,1611324910264,2556,292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,617,1425,151,5,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,48,0,0,0,0,0,1,0,1
2a0c5710-41ce-4615-87b9-8880bfe50a8d,1611278566025,1892,372,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\ricevuta_5195096.doc""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,756,2113,172,4,0,11,True,False,False,OFS,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,57,0,0,0,0,0,1,0,1
2aad4685-68b0-49b7-82e7-3d189c70bc63,1611315375720,2560,356,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,646,1418,132,9,0,9,True,False,False,OFS,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,4,10,0,0,51,0,0,0,0,0,1,0,1
2b112c3e-6a01-47e2-b376-db15e29a7ae4,1611245940511,344,1292,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,675,700,75,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,35,0,0,0,0,0,1,0,1
2e177f80-1679-4ebd-9738-60f9f650cb61,1611150412817,3856,1292,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\order  5121.doc.rtf""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,785,876,78,3,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,36,0,0,0,0,0,1,0,1
2e177f80-1679-4ebd-9738-60f9f650cb61,1611150413988,3344,1456,"""C:\Program Files\Common Files\Microsoft Shared\EQUATION\EQNEDT32.EXE"" -Embedding",C:\Program Files\Common Files\Microsoft Shared\EQUATION\EQNEDT32.EXE,Embedded COM++,361,395,65,0,0,2,True,False,False,NKN,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28,0,0,0,0,0,1,0,2
2ffec2cf-abb1-4161-b7e5-39c0230edd86,1611328745517,2568,612,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,688,1612,141,10,0,12,True,False,False,OFS,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0,67,0,0,0,0,0,1,0,1
34b6820b-8506-48b9-af65-4ac3326e47ca,1611154750153,2692,612,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\Return to Performance Field Sports Quiz.docx""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,1569,3655,112,5,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,66,0,0,0,0,0,1,0,1
3690ca44-ae3f-4f10-8df9-7e3230c45ac0,1611152183823,688,372,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,556,880,84,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,45,0,0,0,0,0,1,0,1
38898cbd-e636-40c6-a0ae-b47c21ee2602,1611125147648,2732,612,"""C:\Program Files\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\admin\AppData\Local\Temp\OUR   PARENTS 1.docx""",C:\Program Files\Microsoft Office\Office14\WINWORD.EXE,Main process,16085,6510,166,11,0,15,True,False,False,OFS,0,0,0,0,2,1,0,0,0,2,1,0,0,0,1,1,4,0,0,0,66,0,0,0,0,0,1,0,1
3945a5f4-a069-43d7-b321-99f969410ed4,1611135064544,2560,376,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,549,1001,87,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,45,0,0,0,0,0,1,0,1
39475a86-9f2c-4b4a-9019-4a21b23f7168,1611328643299,2568,376,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,575,1031,96,1,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,48,0,0,0,0,0,1,0,1
39521908-d090-4db3-a834-cfe015286c88,1611253676838,1916,372,"""C:\Program Files\Microsoft Office\Office14\EXCEL.EXE"" /dde",C:\Program Files\Microsoft Office\Office14\EXCEL.EXE,Main process,449,951,95,7,0,0,False,False,False,OFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,48,0,0,0,0,0,1,0,1
